model_id,slug,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
indolem/indobertweet-base-uncased,indolem__indobertweet-base-uncased,0.9857142857142858,1.0,0.9696969696969697,0.9846153846153847,1.0
indobenchmark/indobert-base-p1,indobenchmark__indobert-base-p1,0.9714285714285714,1.0,0.9393939393939394,0.96875,1.0
indobenchmark/indobert-base-p2,indobenchmark__indobert-base-p2,0.9714285714285714,1.0,0.9393939393939394,0.96875,1.0
flax-community/indonesian-roberta-base,flax-community__indonesian-roberta-base,0.9571428571428572,0.96875,0.9393939393939394,0.9538461538461539,0.9967239967239968
indolem/indobert-base-uncased,indolem__indobert-base-uncased,0.9142857142857143,0.9354838709677419,0.8787878787878788,0.90625,0.9918099918099919
